,sex,age_range,cases
0,1,0–4,15326
1,1,10–14,1127
2,1,15–19,1330
3,1,20–24,2918
4,1,25–29,7569
5,1,30–34,18668
6,1,35–39,40472
7,1,40–44,79067
8,1,45–49,132379
9,1,50–54,196462
10,1,55–59,252906
11,1,5–9,3917
12,1,60–64,283621
13,1,65–69,296848
14,1,70–74,259426
15,1,75–79,202028
16,2,0–4,15902
17,2,10–14,1245
18,2,15–19,1538
19,2,20–24,3152
20,2,25–29,6704
21,2,30–34,13658
22,2,35–39,24729
23,2,40–44,43030
24,2,45–49,68437
25,2,50–54,99399
26,2,55–59,127515
27,2,5–9,5022
28,2,60–64,145655
29,2,65–69,162441
30,2,70–74,154784
31,2,75–79,136715
